time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1758118352.13369989,0.31382093,12480,0.00322803,0.00000000,0,0.00000000,27194,27482,437,0.00246042
1758118352.23390007,0.34370182,12471,0.00355508,0.00000000,0,0.00000000,27482,27847,485,0.00192576
1758118352.33410001,0.33146239,12516,0.00448074,0.00000000,0,0.00000000,27847,28061,437,0.00241588
1758118352.53379989,0.25178158,12584,0.00218133,0.00000000,0,0.00000000,28061,28112,89,0.00244617
1758118352.63319993,0.29987363,12649,0.00327247,0.00000000,0,0.00000000,28112,28378,409,0.00232587
1758118352.93300009,0.30045256,12687,0.00343280,0.00000000,0,0.00000000,28378,28621,402,0.00230151
1758118353.03279996,0.23805773,12678,0.00125608,0.00000000,0,0.00000000,28621,28684,76,0.00232028
1758118353.13310003,0.24163463,12668,0.00256908,0.00000000,0,0.00000000,28684,28674,62,0.00301459
1758118353.23390007,0.24800040,12648,0.00193339,0.00000000,0,0.00000000,28674,28721,66,0.00317006
1758118353.33380008,0.31231740,12674,0.00679942,0.00000000,0,0.00000000,28721,28566,397,0.00219684
1758118353.43400002,0.29345743,12654,0.00177828,0.00000000,0,0.00000000,28566,28872,332,0.00242742
1758118353.53439999,0.29581393,12683,0.00189579,0.00000000,0,0.00000000,28872,29095,268,0.00249685
1758118353.63420010,0.29815143,12681,0.00310295,0.00000000,0,0.00000000,29095,29339,317,0.00232721
1758118353.73410010,0.25503355,12689,0.00141090,0.00000000,0,0.00000000,29339,29435,132,0.00234640
1758118353.93400002,0.23119235,12739,0.00103852,0.00000000,0,0.00000000,29435,29485,69,0.00234058
1758118354.03390002,0.23670802,12745,0.00106555,0.00000000,0,0.00000000,29485,29523,60,0.00358256
1758118354.13420010,0.29824556,12781,0.00436428,0.00000000,0,0.00000000,29523,29301,321,0.00331131
1758118354.33439994,0.27842374,12810,0.00203643,0.00000000,0,0.00000000,29301,29576,311,0.00384252
1758118354.53460002,0.29795382,12874,0.00224532,0.00000000,0,0.00000000,29576,29862,351,0.00282446
1758118354.93429995,0.24815675,13059,0.00109477,0.00000000,0,0.00000000,29862,29907,67,0.00241349
1758118355.03399992,0.33086562,13150,0.00275625,0.00000000,0,0.00000000,29907,30234,432,0.00200939
1758118355.13369989,0.28296204,13240,0.00264270,0.00000000,0,0.00000000,30234,30517,380,0.00228144
1758118355.23329997,0.29462628,13316,0.00269426,0.00000000,0,0.00000000,30517,30783,349,0.00252471
1758118355.33290005,0.28746178,13340,0.00349300,0.00000000,0,0.00000000,30783,30987,297,0.00220295
1758118355.53360009,0.27454598,13415,0.00223074,0.00000000,0,0.00000000,30987,31040,71,0.00242160
1758118355.63369989,0.27957709,13482,0.00285459,0.00000000,0,0.00000000,31040,31150,174,0.00247011
1758118355.73379993,0.24634554,13461,0.00221637,0.00000000,0,0.00000000,31150,31193,68,0.00263919
1758118356.03390002,0.26793800,13649,0.00205313,0.00000000,0,0.00000000,31193,31234,64,0.00276798
1758118356.13380003,0.32412211,13665,0.00390082,0.00000000,0,0.00000000,31234,31564,454,0.00236094
1758118356.23390007,0.26623699,13675,0.00170075,0.00000000,0,0.00000000,31564,31596,70,0.00262833
1758118356.53379989,0.22817499,12665,0.00168434,0.00000000,0,0.00000000,31596,31635,58,0.00373421
1758118356.83419991,0.23934933,12158,0.00210482,0.00000000,0,0.00000000,31635,31660,73,0.00273097
1758118356.93370008,0.22421339,12143,0.00116960,0.00000000,0,0.00000000,31660,31688,56,0.00234751
1758118357.03449988,0.24240919,12216,0.00181500,0.00000000,0,0.00000000,31688,31802,152,0.00225053
1758118357.13420010,0.23804915,12386,0.00196384,0.00000000,0,0.00000000,31802,31904,172,0.00290621
1758118357.23359990,0.25511875,12574,0.00433888,0.00000000,0,0.00000000,31904,31997,291,0.00318792
1758118357.43390012,0.29456352,13016,0.00368978,0.00000000,0,0.00000000,31997,32386,592,0.00275300
1758118357.53390002,0.24211414,13790,0.00135208,0.00000000,0,0.00000000,32386,32429,57,0.00367657
1758118357.73390007,0.28327181,13856,0.00258215,0.00000000,0,0.00000000,32429,32484,101,0.00592374
1758118357.83389997,0.34658190,13874,0.00607136,0.00000000,0,0.00000000,32484,32651,458,0.00231409
1758118358.03419995,0.30455523,13861,0.00407528,0.00000000,0,0.00000000,32651,32937,345,0.00242116
1758118358.23379993,0.32367811,13905,0.01003332,0.00000000,0,0.00000000,32937,32065,285,0.00282020
1758118358.33430004,0.38240573,13917,0.00212451,0.00000000,0,0.00000000,32065,32414,378,0.00326271
1758118358.43429995,0.31360361,13891,0.00327360,0.00000000,0,0.00000000,32414,32749,363,0.00273200
1758118358.53410006,0.25608541,13875,0.00107590,0.00000000,0,0.00000000,32749,32803,77,0.00360035
1758118358.63400006,0.29346389,13891,0.00172572,0.00000000,0,0.00000000,32803,32956,192,0.00232486
